"Step","rnn_grid_2 - Max deterministic score from rollout of 1000 steps","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MAX","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MAX"
"3739","6","6","6","2","2","2"
"3744","1","1","1","1","1","1"
"3749","8","8","8","12","12","12"
"3754","2","2","2","8","8","8"
"3759","5","5","5","1","1","1"
"3764","6","6","6","13","13","13"
"3769","4","4","4","11","11","11"
"3774","6","6","6","16","16","16"
"3779","9","9","9","2","2","2"
"3784","1","1","1","7","7","7"
"3789","2","2","2","18","18","18"
"3794","3","3","3","16","16","16"
"3799","1","1","1","1","1","1"
"3804","2","2","2","1","1","1"
"3809","11","11","11","11","11","11"
"3814","2","2","2","1","1","1"
"3819","3","3","3","1","1","1"
"3824","1","1","1","1","1","1"
"3829","3","3","3","17","17","17"
"3834","5","5","5","3","3","3"
"3839","2","2","2","11","11","11"
"3844","1","1","1","3","3","3"
"3849","5","5","5","11","11","11"
"3854","2","2","2","13","13","13"
"3859","2","2","2","5","5","5"
"3864","4","4","4","13","13","13"
"3869","1","1","1","17","17","17"
"3874","1","1","1","15","15","15"
"3879","7","7","7","4","4","4"
"3884","3","3","3","7","7","7"
"3889","4","4","4","9","9","9"
"3894","1","1","1","12","12","12"
"3899","5","5","5","12","12","12"
"3904","2","2","2","1","1","1"
"3909","2","2","2","7","7","7"
"3914","5","5","5","13","13","13"
"3919","2","2","2","5","5","5"
"3924","1","1","1","18","18","18"
"3929","7","7","7","6","6","6"
"3934","3","3","3","2","2","2"
"3939","1","1","1","5","5","5"
"3944","1","1","1","12","12","12"
"3949","1","1","1","5","5","5"
"3954","4","4","4","12","12","12"
"3959","4","4","4","5","5","5"
"3964","2","2","2","11","11","11"
"3969","1","1","1","1","1","1"
"3974","2","2","2","17","17","17"
"3979","2","2","2","2","2","2"
"3984","4","4","4","14","14","14"
"3989","11","11","11","7","7","7"
"3994","4","4","4","4","4","4"
"3999","2","2","2","1","1","1"
"4004","1","1","1","15","15","15"
"4009","1","1","1","1","1","1"
"4014","5","5","5","5","5","5"
"4019","2","2","2","1","1","1"
"4024","2","2","2","6","6","6"
"4029","1","1","1","6","6","6"
"4034","1","1","1","2","2","2"
"4039","5","5","5","17","17","17"
"4044","2","2","2","5","5","5"
"4049","12","12","12","10","10","10"
"4054","1","1","1","2","2","2"
"4059","1","1","1","3","3","3"
"4064","6","6","6","3","3","3"
"4069","1","1","1","6","6","6"
"4074","8","8","8","1","1","1"
"4079","5","5","5","14","14","14"
"4084","1","1","1","16","16","16"
"4089","1","1","1","1","1","1"
"4094","3","3","3","9","9","9"
"4099","2","2","2","10","10","10"
"4104","12","12","12","7","7","7"
"4109","1","1","1","15","15","15"
"4114","1","1","1","14","14","14"
"4119","3","3","3","11","11","11"
"4124","5","5","5","4","4","4"
"4129","9","9","9","2","2","2"
"4134","6","6","6","5","5","5"
"4139","5","5","5","3","3","3"
"4144","7","7","7","6","6","6"
"4149","2","2","2","6","6","6"
"4154","1","1","1","9","9","9"
"4159","2","2","2","15","15","15"
"4164","2","2","2","2","2","2"
"4169","1","1","1","14","14","14"
"4174","2","2","2","1","1","1"
"4179","4","4","4","4","4","4"
"4184","3","3","3","5","5","5"
"4189","8","8","8","7","7","7"
"4194","4","4","4","14","14","14"
"4199","1","1","1","16","16","16"
"4204","2","2","2","1","1","1"
"4209","2","2","2","11","11","11"
"4214","2","2","2","11","11","11"
"4219","2","2","2","12","12","12"
"4224","9","9","9","1","1","1"
"4229","10","10","10","13","13","13"
"4234","11","11","11","4","4","4"
"4239","4","4","4","13","13","13"
"4244","1","1","1","12","12","12"
"4249","2","2","2","15","15","15"
"4254","3","3","3","1","1","1"
"4259","3","3","3","3","3","3"
"4264","3","3","3","14","14","14"
"4269","1","1","1","1","1","1"
"4274","17","17","17","9","9","9"
"4279","2","2","2","6","6","6"
"4284","1","1","1","15","15","15"
"4289","7","7","7","14","14","14"
"4294","9","9","9","12","12","12"
"4299","2","2","2","14","14","14"
"4304","2","2","2","2","2","2"
"4309","2","2","2","3","3","3"
"4314","2","2","2","2","2","2"
"4319","3","3","3","14","14","14"
"4324","1","1","1","11","11","11"
"4329","6","6","6","2","2","2"
"4334","2","2","2","2","2","2"
"4339","2","2","2","6","6","6"
"4344","3","3","3","2","2","2"
"4349","3","3","3","2","2","2"
"4354","1","1","1","1","1","1"
"4359","2","2","2","1","1","1"
"4364","1","1","1","5","5","5"
"4369","9","9","9","11","11","11"
"4374","7","7","7","6","6","6"
"4379","9","9","9","3","3","3"
"4384","2","2","2","3","3","3"
"4389","3","3","3","3","3","3"
"4394","4","4","4","2","2","2"
"4399","5","5","5","12","12","12"
"4404","2","2","2","3","3","3"
"4409","2","2","2","6","6","6"
"4414","4","4","4","8","8","8"
"4419","8","8","8","5","5","5"
"4424","1","1","1","1","1","1"
"4429","4","4","4","13","13","13"
"4434","1","1","1","16","16","16"
"4439","1","1","1","6","6","6"
"4444","2","2","2","13","13","13"
"4449","1","1","1","9","9","9"
"4454","2","2","2","1","1","1"
"4459","1","1","1","1","1","1"
"4464","1","1","1","7","7","7"
"4469","2","2","2","6","6","6"
"4474","4","4","4","1","1","1"
"4479","1","1","1","8","8","8"
"4484","3","3","3","4","4","4"
"4489","1","1","1","1","1","1"
"4494","1","1","1","14","14","14"
"4499","1","1","1","12","12","12"
"4504","3","3","3","2","2","2"
"4509","8","8","8","11","11","11"
"4514","2","2","2","15","15","15"
"4519","3","3","3","3","3","3"
"4524","1","1","1","2","2","2"
"4529","5","5","5","3","3","3"
"4534","1","1","1","7","7","7"
"4539","7","7","7","2","2","2"
"4544","3","3","3","10","10","10"
"4549","7","7","7","2","2","2"
"4554","1","1","1","11","11","11"
"4559","1","1","1","1","1","1"
"4564","1","1","1","2","2","2"
"4569","14","14","14","14","14","14"
"4574","2","2","2","12","12","12"
"4579","2","2","2","13","13","13"
"4584","10","10","10","1","1","1"
"4589","2","2","2","12","12","12"
"4594","8","8","8","4","4","4"
"4599","3","3","3","1","1","1"
"4604","1","1","1","17","17","17"
"4609","2","2","2","10","10","10"
"4614","2","2","2","3","3","3"
"4619","2","2","2","12","12","12"
"4624","12","12","12","17","17","17"
"4629","3","3","3","7","7","7"
"4634","1","1","1","1","1","1"
"4639","1","1","1","3","3","3"
"4644","6","6","6","5","5","5"
"4649","11","11","11","11","11","11"
"4654","3","3","3","1","1","1"
"4659","7","7","7","5","5","5"
"4664","7","7","7","1","1","1"
"4669","3","3","3","2","2","2"
"4674","2","2","2","2","2","2"
"4679","4","4","4","2","2","2"
"4684","1","1","1","2","2","2"
"4689","3","3","3","1","1","1"
"4694","3","3","3","1","1","1"
"4699","3","3","3","13","13","13"
"4704","1","1","1","10","10","10"
"4709","2","2","2","2","2","2"
"4714","1","1","1","4","4","4"
"4719","4","4","4","1","1","1"
"4724","5","5","5","2","2","2"
"4729","4","4","4","1","1","1"
"4734","1","1","1","7","7","7"
"4739","2","2","2","16","16","16"
"4744","2","2","2","12","12","12"
"4749","9","9","9","10","10","10"
"4754","4","4","4","1","1","1"
"4759","1","1","1","2","2","2"
"4764","2","2","2","12","12","12"
"4769","1","1","1","12","12","12"
"4774","7","7","7","8","8","8"
"4779","2","2","2","7","7","7"
"4784","1","1","1","1","1","1"
"4789","1","1","1","15","15","15"
"4794","1","1","1","2","2","2"
"4799","1","1","1","15","15","15"
"4804","2","2","2","10","10","10"
"4809","3","3","3","8","8","8"
"4814","3","3","3","7","7","7"
"4819","3","3","3","1","1","1"
"4824","2","2","2","21","21","21"
"4829","1","1","1","6","6","6"
"4834","4","4","4","3","3","3"
"4839","2","2","2","4","4","4"
"4844","5","5","5","3","3","3"
"4849","1","1","1","1","1","1"
"4854","1","1","1","11","11","11"
"4859","1","1","1","2","2","2"
"4864","2","2","2","2","2","2"
"4869","2","2","2","3","3","3"
"4874","2","2","2","3","3","3"
"4879","4","4","4","4","4","4"
"4884","1","1","1","9","9","9"
"4889","5","5","5","16","16","16"
"4894","7","7","7","2","2","2"
"4899","4","4","4","13","13","13"
"4904","1","1","1","5","5","5"
"4909","2","2","2","12","12","12"
"4914","3","3","3","3","3","3"
"4919","1","1","1","1","1","1"
"4924","3","3","3","11","11","11"
"4929","1","1","1","17","17","17"
"4934","1","1","1","3","3","3"
"4939","6","6","6","6","6","6"
"4944","3","3","3","2","2","2"
"4949","8","8","8","13","13","13"
"4954","7","7","7","2","2","2"
"4959","3","3","3","2","2","2"
"4964","5","5","5","2","2","2"
"4969","2","2","2","14","14","14"
"4974","1","1","1","10","10","10"
"4979","1","1","1","7","7","7"
"4984","2","2","2","13","13","13"
"4989","1","1","1","16","16","16"
"4994","1","1","1","3","3","3"
"4999","2","2","2","3","3","3"
