"Step","POSITIONS_DQN_WIN - Episode Score","POSITIONS_DQN_WIN - Episode Score__MIN","POSITIONS_DQN_WIN - Episode Score__MAX","SURROUNDINGS_DQN_WIN - Episode Score","SURROUNDINGS_DQN_WIN - Episode Score__MIN","SURROUNDINGS_DQN_WIN - Episode Score__MAX"
"1032","16","16","16","","",""
"1038","17","17","17","","",""
"1044","15","15","15","","",""
"1050","17","17","17","","",""
"1056","16","16","16","","",""
"1062","12","12","12","","",""
"1068","17","17","17","","",""
"1074","12","12","12","","",""
"1080","20","20","20","","",""
"1086","3","3","3","","",""
"1092","6","6","6","","",""
"1098","19","19","19","","",""
"1104","19","19","19","","",""
"1110","10","10","10","","",""
"1116","2","2","2","","",""
"1122","15","15","15","","",""
"1128","3","3","3","","",""
"1134","12","12","12","","",""
"1140","13","13","13","","",""
"1146","12","12","12","","",""
"1152","13","13","13","","",""
"1158","18","18","18","","",""
"1164","16","16","16","","",""
"1170","4","4","4","","",""
"1176","9","9","9","","",""
"1182","13","13","13","","",""
"1188","6","6","6","","",""
"1194","19","19","19","","",""
"1200","18","18","18","","",""
"1206","12","12","12","","",""
"1212","13","13","13","","",""
"1218","18","18","18","","",""
"1224","14","14","14","","",""
"1230","10","10","10","","",""
"1236","12","12","12","","",""
"1242","18","18","18","","",""
"1248","4","4","4","","",""
"1254","14","14","14","","",""
"1260","17","17","17","","",""
"1266","19","19","19","","",""
"1272","13","13","13","","",""
"1278","7","7","7","","",""
"1284","15","15","15","","",""
"1290","12","12","12","","",""
"1296","14","14","14","","",""
"1302","12","12","12","","",""
"1308","13","13","13","","",""
"1314","16","16","16","","",""
"1320","13","13","13","","",""
"1326","1","1","1","","",""
"1332","18","18","18","","",""
"1338","9","9","9","","",""
"1344","17","17","17","","",""
"1350","15","15","15","","",""
"1356","11","11","11","","",""
"1362","18","18","18","","",""
"1368","17","17","17","","",""
"1374","7","7","7","","",""
"1380","14","14","14","","",""
"1386","9","9","9","","",""
"1392","19","19","19","","",""
"1398","19","19","19","","",""
"1404","10","10","10","","",""
"1410","12","12","12","","",""
"1416","7","7","7","","",""
"1422","18","18","18","","",""
"1428","16","16","16","","",""
"1434","18","18","18","","",""
"1440","14","14","14","","",""
"1446","13","13","13","","",""
"1452","13","13","13","","",""
"1458","12","12","12","","",""
"1464","16","16","16","","",""
"1470","13","13","13","","",""
"1476","13","13","13","","",""
"1482","17","17","17","","",""
"1488","7","7","7","","",""
"1494","13","13","13","","",""
"1500","22","22","22","","",""
"1506","16","16","16","","",""
"1512","19","19","19","","",""
"1518","19","19","19","","",""
"1524","11","11","11","","",""
"1530","17","17","17","","",""
"1536","1","1","1","","",""
"1542","12","12","12","","",""
"1548","1","1","1","","",""
"1554","2","2","2","","",""
"1560","18","18","18","","",""
"1566","17","17","17","","",""
"1572","19","19","19","","",""
"1578","11","11","11","","",""
"1584","19","19","19","","",""
"1590","3","3","3","","",""
"1596","3","3","3","","",""
"1602","14","14","14","","",""
"1608","1","1","1","","",""
"1614","6","6","6","","",""
"1620","7","7","7","","",""
"1626","12","12","12","","",""
"1632","15","15","15","","",""
"1638","16","16","16","","",""
"1644","16","16","16","","",""
"1650","13","13","13","","",""
"1656","12","12","12","","",""
"1662","13","13","13","","",""
"1668","16","16","16","","",""
"1674","8","8","8","","",""
"1680","16","16","16","","",""
"1686","18","18","18","","",""
"1692","17","17","17","","",""
"1698","14","14","14","","",""
"1704","15","15","15","","",""
"1710","12","12","12","","",""
"1716","10","10","10","","",""
"1722","17","17","17","","",""
"1728","15","15","15","","",""
"1734","18","18","18","","",""
"1740","11","11","11","","",""
"1746","16","16","16","","",""
"1752","17","17","17","","",""
"1758","19","19","19","","",""
"1764","18","18","18","","",""
"1770","12","12","12","","",""
"1776","18","18","18","","",""
"1782","14","14","14","","",""
"1788","12","12","12","","",""
"1794","18","18","18","","",""
"1800","14","14","14","","",""
"1806","13","13","13","","",""
"1812","15","15","15","","",""
"1818","15","15","15","","",""
"1824","14","14","14","","",""
"1830","18","18","18","","",""
"1836","14","14","14","","",""
"1842","12","12","12","","",""
"1848","15","15","15","","",""
"1854","13","13","13","","",""
"1860","19","19","19","","",""
"1866","12","12","12","","",""
"1872","20","20","20","","",""
"1878","13","13","13","","",""
"1884","17","17","17","","",""
"1890","11","11","11","","",""
"1896","12","12","12","","",""
"1902","18","18","18","","",""
"1908","16","16","16","","",""
"1914","18","18","18","","",""
"1920","13","13","13","","",""
"1926","10","10","10","","",""
"1932","13","13","13","","",""
"1938","10","10","10","","",""
"1944","17","17","17","","",""
"1950","15","15","15","","",""
"1956","1","1","1","","",""
"1962","14","14","14","","",""
"1968","13","13","13","","",""
"1974","18","18","18","","",""
"1980","9","9","9","","",""
"1986","19","19","19","","",""
"1992","18","18","18","","",""
"1998","3","3","3","","",""
"2004","10","10","10","","",""
"2010","17","17","17","","",""
"2016","18","18","18","","",""
"2022","10","10","10","","",""
"2028","15","15","15","","",""
"2034","14","14","14","","",""
"2040","20","20","20","","",""
"2046","14","14","14","","",""
"2052","17","17","17","","",""
"2058","9","9","9","","",""
"2064","23","23","23","","",""
"2071","13","13","13","","",""
"2077","18","18","18","","",""
"2083","2","2","2","","",""
"2089","19","19","19","","",""
"2095","15","15","15","","",""
"2101","14","14","14","","",""
"2107","14","14","14","","",""
"2113","13","13","13","","",""
"2119","13","13","13","","",""
"2125","3","3","3","","",""
"2131","9","9","9","","",""
"2137","21","21","21","","",""
"2143","14","14","14","","",""
"2149","16","16","16","","",""
"2155","14","14","14","","",""
"2161","14","14","14","","",""
"2167","20","20","20","","",""
"2173","18","18","18","","",""
"2179","11","11","11","","",""
"2185","13","13","13","","",""
"2191","17","17","17","","",""
"2197","15","15","15","","",""
"2203","14","14","14","","",""
"2209","19","19","19","","",""
"2215","14","14","14","","",""
"2221","18","18","18","","",""
"2227","15","15","15","","",""
"2233","18","18","18","","",""
"2239","12","12","12","","",""
"2245","11","11","11","","",""
"2251","21","21","21","","",""
"2257","16","16","16","","",""
"2263","15","15","15","","",""
"2269","13","13","13","","",""
"2275","17","17","17","","",""
"2281","13","13","13","","",""
"2287","12","12","12","","",""
"2293","2","2","2","","",""
"2299","18","18","18","","",""
"2305","24","24","24","","",""
"2312","13","13","13","","",""
"2318","15","15","15","","",""
"2324","15","15","15","","",""
"2330","1","1","1","","",""
"2336","16","16","16","","",""
"2342","15","15","15","","",""
"2348","17","17","17","","",""
"2354","15","15","15","","",""
"2360","10","10","10","","",""
"2366","10","10","10","","",""
"2372","14","14","14","","",""
"2378","18","18","18","","",""
"2384","15","15","15","","",""
"2390","18","18","18","","",""
"2396","16","16","16","","",""
"2402","15","15","15","","",""
"2408","19","19","19","","",""
"2414","17","17","17","","",""
"2420","18","18","18","","",""
"2426","9","9","9","","",""
"2432","17","17","17","","",""
"2438","7","7","7","","",""
"2444","17","17","17","","",""
"2450","10","10","10","","",""
"2456","2","2","2","","",""
"2462","19","19","19","","",""
"2468","23","23","23","","",""
"2474","16","16","16","","",""
"2480","19","19","19","","",""
"2486","15","15","15","","",""
"2492","17","17","17","","",""
"2498","14","14","14","","",""
"2504","16","16","16","","",""
"2510","18","18","18","","",""
"2516","16","16","16","","",""
"2522","18","18","18","","",""
"2528","13","13","13","","",""
"2534","8","8","8","","",""
"2540","18","18","18","","",""
"2546","15","15","15","","",""
"2552","20","20","20","","",""
"2558","16","16","16","","",""
"2564","16","16","16","","",""
"2570","12","12","12","","",""
"2576","18","18","18","","",""
"2582","12","12","12","","",""
"2588","13","13","13","","",""
"2594","17","17","17","","",""
"2600","21","21","21","","",""
"2606","16","16","16","","",""
"2612","15","15","15","","",""
"2618","21","21","21","","",""
"2624","17","17","17","","",""
"2630","14","14","14","","",""
"2636","1","1","1","","",""
"2642","10","10","10","","",""
"2648","15","15","15","","",""
"2654","15","15","15","","",""
"2660","16","16","16","","",""
"2666","15","15","15","","",""
"2672","3","3","3","","",""
"2678","17","17","17","","",""
"2684","22","22","22","","",""
"2690","15","15","15","","",""
"2696","13","13","13","","",""
"2702","16","16","16","","",""
"2708","15","15","15","","",""
"2714","19","19","19","","",""
"2720","14","14","14","","",""
"2726","17","17","17","","",""
"2732","18","18","18","","",""
"2738","22","22","22","","",""
"2744","17","17","17","","",""
"2750","13","13","13","","",""
"2756","17","17","17","","",""
"2762","12","12","12","","",""
"2768","14","14","14","","",""
"2774","3","3","3","","",""
"2780","9","9","9","","",""
"2786","18","18","18","","",""
"2792","19","19","19","","",""
"2798","10","10","10","","",""
"2804","20","20","20","","",""
"2810","22","22","22","","",""
"2816","14","14","14","","",""
"2822","16","16","16","","",""
"2828","16","16","16","","",""
"2834","19","19","19","","",""
"2840","13","13","13","","",""
"2846","16","16","16","","",""
"2852","8","8","8","","",""
"2858","13","13","13","","",""
"2864","1","1","1","","",""
"2870","21","21","21","","",""
"2876","14","14","14","","",""
"2882","18","18","18","","",""
"2888","7","7","7","","",""
"2894","18","18","18","","",""
"2900","16","16","16","","",""
"2906","15","15","15","","",""
"2912","15","15","15","","",""
"2918","2","2","2","","",""
"2924","17","17","17","","",""
"2930","14","14","14","","",""
"2936","16","16","16","","",""
"2942","19","19","19","","",""
"2948","1","1","1","","",""
"2954","1","1","1","","",""
"2960","18","18","18","","",""
"2966","7","7","7","","",""
"2972","10","10","10","","",""
"2978","13","13","13","","",""
"2984","22","22","22","","",""
"2990","18","18","18","","",""
"2996","13","13","13","","",""
"3002","13","13","13","","",""
"3008","17","17","17","","",""
"3014","18","18","18","","",""
"3020","18","18","18","","",""
"3026","13","13","13","","",""
"3032","10","10","10","","",""
"3038","20","20","20","","",""
"3044","20","20","20","","",""
"3050","19","19","19","","",""
"3056","20","20","20","","",""
"3062","8","8","8","","",""
"3068","18","18","18","","",""
"3074","16","16","16","","",""
"3080","16","16","16","","",""
"3086","18","18","18","","",""
"3092","18","18","18","","",""
"3098","13","13","13","","",""
"3104","11","11","11","","",""
"3110","17","17","17","","",""
"3116","8","8","8","","",""
"3122","15","15","15","","",""
"3128","18","18","18","","",""
"3134","14","14","14","","",""
"3140","17","17","17","","",""
"3146","9","9","9","","",""
"3152","18","18","18","","",""
"3158","14","14","14","","",""
"3164","17","17","17","","",""
"3170","15","15","15","","",""
"3176","18","18","18","","",""
"3182","12","12","12","","",""
"3188","14","14","14","","",""
"3194","8","8","8","","",""
"3200","14","14","14","","",""
"3206","16","16","16","","",""
"3212","17","17","17","","",""
"3218","19","19","19","","",""
"3224","11","11","11","","",""
"3230","19","19","19","","",""
"3236","15","15","15","","",""
"3242","17","17","17","","",""
"3248","20","20","20","","",""
"3254","3","3","3","","",""
"3260","16","16","16","","",""
"3266","18","18","18","","",""
"3272","23","23","23","","",""
"3278","17","17","17","","",""
"3284","15","15","15","","",""
"3290","20","20","20","","",""
"3296","17","17","17","","",""
"3302","13","13","13","","",""
"3308","12","12","12","","",""
"3314","2","2","2","","",""
"3320","17","17","17","","",""
"3326","16","16","16","","",""
"3332","15","15","15","","",""
"3338","12","12","12","","",""
"3344","9","9","9","","",""
"3350","13","13","13","","",""
"3356","18","18","18","","",""
"3362","15","15","15","","",""
"3368","15","15","15","","",""
"3374","16","16","16","","",""
"3380","13","13","13","","",""
"3386","14","14","14","","",""
"3392","18","18","18","","",""
"3398","8","8","8","","",""
"3404","8","8","8","","",""
"3410","18","18","18","","",""
"3416","21","21","21","","",""
"3422","16","16","16","","",""
"3428","18","18","18","","",""
"3434","15","15","15","","",""
"3440","19","19","19","","",""
"3446","15","15","15","","",""
"3452","15","15","15","","",""
"3458","21","21","21","","",""
"3464","20","20","20","","",""
"3470","18","18","18","","",""
"3476","14","14","14","","",""
"3482","17","17","17","","",""
"3488","14","14","14","","",""
"3494","19","19","19","","",""
"3500","15","15","15","","",""
"3506","4","4","4","","",""
"3512","13","13","13","","",""
"3518","16","16","16","","",""
"3524","18","18","18","","",""
"3530","19","19","19","","",""
"3536","12","12","12","","",""
"3542","21","21","21","","",""
"3548","21","21","21","","",""
"3554","16","16","16","","",""
"3560","21","21","21","","",""
"3566","18","18","18","","",""
"3572","13","13","13","","",""
"3578","20","20","20","","",""
"3584","17","17","17","","",""
"3590","20","20","20","","",""
"3596","20","20","20","","",""
"3602","7","7","7","","",""
"3608","11","11","11","","",""
"3614","24","24","24","","",""
"3620","20","20","20","","",""
"3626","12","12","12","","",""
"3632","16","16","16","","",""
"3638","13","13","13","","",""
"3644","19","19","19","","",""
"3650","14","14","14","","",""
"3656","1","1","1","","",""
"3662","4","4","4","","",""
"3668","17","17","17","","",""
"3674","20","20","20","","",""
"3680","18","18","18","","",""
"3686","14","14","14","","",""
"3692","13","13","13","","",""
"3698","13","13","13","","",""
"3704","18","18","18","","",""
"3710","18","18","18","","",""
"3716","14","14","14","","",""
"3722","11","11","11","","",""
"3728","1","1","1","","",""
"3734","9","9","9","","",""
"3740","16","16","16","","",""
"3746","19","19","19","","",""
"3752","8","8","8","","",""
"3758","15","15","15","","",""
"3764","18","18","18","","",""
"3770","17","17","17","","",""
"3776","15","15","15","","",""
"3782","15","15","15","","",""
"3788","15","15","15","","",""
"3794","17","17","17","","",""
"3800","21","21","21","","",""
"3806","10","10","10","","",""
"3812","13","13","13","","",""
"3818","15","15","15","","",""
"3824","9","9","9","","",""
"3830","18","18","18","","",""
"3836","16","16","16","","",""
"3842","15","15","15","","",""
"3848","13","13","13","","",""
"3854","16","16","16","","",""
"3860","17","17","17","","",""
"3866","9","9","9","","",""
"3872","20","20","20","","",""
"3878","17","17","17","","",""
"3884","19","19","19","","",""
"3890","17","17","17","","",""
"3896","18","18","18","","",""
"3902","10","10","10","","",""
"3908","15","15","15","","",""
"3914","16","16","16","","",""
"3920","18","18","18","","",""
"3926","14","14","14","","",""
"3932","20","20","20","","",""
"3938","11","11","11","","",""
"3944","10","10","10","","",""
"3950","8","8","8","","",""
"3956","20","20","20","","",""
"3962","13","13","13","","",""
"3968","12","12","12","","",""
"3974","12","12","12","","",""
"3980","12","12","12","","",""
"3986","1","1","1","","",""
"3992","19","19","19","","",""
"3998","15","15","15","","",""
"4004","16","16","16","","",""
"4010","15","15","15","","",""
"4016","22","22","22","","",""
"4022","11","11","11","","",""
"4028","13","13","13","","",""
"4034","13","13","13","","",""
"4040","22","22","22","","",""
"4046","17","17","17","","",""
"4052","16","16","16","","",""
"4058","13","13","13","","",""
"4064","11","11","11","","",""
"4070","20","20","20","","",""
"4076","19","19","19","","",""
"4082","14","14","14","","",""
"4088","14","14","14","","",""
"4094","15","15","15","","",""
"4100","16","16","16","","",""
"4106","17","17","17","","",""
"4112","12","12","12","","",""
"4118","22","22","22","","",""
"4124","17","17","17","","",""
"4130","13","13","13","","",""
"4136","17","17","17","","",""
"4142","16","16","16","","",""
"4148","18","18","18","","",""
"4154","16","16","16","","",""
"4160","18","18","18","","",""
"4166","15","15","15","","",""
"4172","12","12","12","","",""
"4178","11","11","11","","",""
"4184","18","18","18","","",""
"4190","16","16","16","","",""
"4196","17","17","17","","",""
"4202","13","13","13","","",""
"4208","15","15","15","","",""
"4214","5","5","5","","",""
"4220","15","15","15","","",""
"4226","20","20","20","","",""
"4232","16","16","16","","",""
"4238","17","17","17","","",""
"4244","18","18","18","","",""
"4250","13","13","13","","",""
"4256","20","20","20","","",""
"4262","6","6","6","","",""
"4268","10","10","10","","",""
"4274","19","19","19","","",""
"4280","16","16","16","","",""
"4286","10","10","10","","",""
"4292","18","18","18","","",""
"4298","15","15","15","","",""
"4304","16","16","16","","",""
"4310","8","8","8","","",""
"4316","12","12","12","","",""
"4322","17","17","17","","",""
"4328","19","19","19","","",""
"4334","18","18","18","","",""
"4340","18","18","18","","",""
"4346","14","14","14","","",""
"4352","19","19","19","","",""
"4358","19","19","19","","",""
"4364","19","19","19","","",""
"4370","1","1","1","","",""
"4376","17","17","17","","",""
"4382","14","14","14","","",""
"4388","22","22","22","","",""
"4394","17","17","17","","",""
"4400","16","16","16","","",""
"4406","18","18","18","","",""
"4412","10","10","10","","",""
"4418","20","20","20","","",""
"4424","16","16","16","","",""
"4430","8","8","8","","",""
"4436","15","15","15","","",""
"4442","11","11","11","","",""
"4448","13","13","13","","",""
"4454","13","13","13","","",""
"4460","16","16","16","","",""
"4466","14","14","14","","",""
"4472","1","1","1","","",""
"4478","16","16","16","","",""
"4484","16","16","16","","",""
"4490","17","17","17","","",""
"4496","17","17","17","","",""
"4502","16","16","16","","",""
"4508","15","15","15","","",""
"4514","16","16","16","","",""
"4520","13","13","13","","",""
"4526","16","16","16","","",""
"4532","19","19","19","","",""
"4538","1","1","1","","",""
"4544","16","16","16","","",""
"4550","8","8","8","","",""
"4556","13","13","13","","",""
"4562","10","10","10","","",""
"4568","15","15","15","","",""
"4574","15","15","15","","",""
"4580","15","15","15","","",""
"4586","10","10","10","","",""
"4592","16","16","16","","",""
"4598","14","14","14","","",""
"4604","14","14","14","","",""
"4610","16","16","16","","",""
"4616","17","17","17","","",""
"4622","13","13","13","","",""
"4628","15","15","15","","",""
"4634","15","15","15","","",""
"4640","15","15","15","","",""
"4646","19","19","19","","",""
"4652","16","16","16","","",""
"4658","14","14","14","","",""
"4664","13","13","13","","",""
"4670","13","13","13","","",""
"4676","17","17","17","","",""
"4682","19","19","19","","",""
"4688","15","15","15","","",""
"4694","11","11","11","","",""
"4700","13","13","13","","",""
"4706","16","16","16","","",""
"4712","17","17","17","","",""
"4718","13","13","13","","",""
"4724","18","18","18","","",""
"4730","14","14","14","","",""
"4736","19","19","19","","",""
"4742","20","20","20","","",""
"4748","5","5","5","","",""
"4754","3","3","3","","",""
"4760","19","19","19","","",""
"4766","20","20","20","","",""
"4772","17","17","17","","",""
"4778","13","13","13","","",""
"4784","12","12","12","","",""
"4790","15","15","15","","",""
"4796","17","17","17","","",""
"4802","18","18","18","","",""
"4808","14","14","14","","",""
"4814","17","17","17","","",""
"4820","18","18","18","","",""
"4826","1","1","1","","",""
"4832","17","17","17","","",""
"4838","7","7","7","","",""
"4844","12","12","12","","",""
"4850","20","20","20","","",""
"4856","21","21","21","","",""
"4862","18","18","18","","",""
"4868","10","10","10","","",""
"4874","1","1","1","","",""
"4880","20","20","20","","",""
"4886","17","17","17","","",""
"4892","17","17","17","","",""
"4898","20","20","20","","",""
"4904","15","15","15","","",""
"4910","13","13","13","","",""
"4916","18","18","18","","",""
"4922","19","19","19","","",""
"4928","19","19","19","","",""
"4934","13","13","13","","",""
"4940","18","18","18","","",""
"4946","15","15","15","","",""
"4952","11","11","11","","",""
"4958","14","14","14","","",""
"4964","22","22","22","","",""
"4970","8","8","8","","",""
"4976","17","17","17","","",""
"4982","16","16","16","","",""
"4988","16","16","16","","",""
"4994","18","18","18","","",""
"5000","17","17","17","","",""
"5006","16","16","16","","",""
"5012","18","18","18","","",""
"5018","23","23","23","","",""
"5024","1","1","1","","",""
"5030","9","9","9","","",""
"5036","17","17","17","","",""
"5042","19","19","19","","",""
"5048","13","13","13","","",""
"5054","20","20","20","","",""
"5060","14","14","14","","",""
"5066","19","19","19","","",""
"5072","14","14","14","","",""
"5078","16","16","16","","",""
"5084","17","17","17","","",""
"5090","13","13","13","","",""
"5096","18","18","18","","",""
"5102","11","11","11","","",""
"5108","19","19","19","","",""
"5114","16","16","16","","",""
"5120","21","21","21","","",""
"5126","10","10","10","","",""
"5132","15","15","15","","",""
"5138","18","18","18","","",""
"5144","16","16","16","","",""
"5150","20","20","20","","",""
"5156","14","14","14","","",""
"5162","1","1","1","","",""
"5168","10","10","10","","",""
"5174","16","16","16","","",""
"5180","14","14","14","","",""
"5186","16","16","16","","",""
"5192","18","18","18","","",""
"5198","21","21","21","","",""
"5204","18","18","18","","",""
"5210","9","9","9","","",""
"5216","14","14","14","","",""
"5222","18","18","18","","",""
"5228","20","20","20","","",""
"5234","13","13","13","","",""
"5240","8","8","8","","",""
"5246","17","17","17","","",""
"5252","12","12","12","","",""
"5258","17","17","17","","",""
"5264","18","18","18","","",""
"5270","20","20","20","","",""
"5276","8","8","8","","",""
"5282","12","12","12","","",""
"5288","16","16","16","","",""
"5294","20","20","20","","",""
"5300","18","18","18","","",""
"5306","16","16","16","","",""
"5312","20","20","20","","",""
"5318","16","16","16","","",""
"5324","18","18","18","","",""
"5330","19","19","19","","",""
"5336","16","16","16","","",""
"5342","20","20","20","","",""
"5348","17","17","17","","",""
"5354","24","24","24","","",""
"5360","20","20","20","","",""
"5366","17","17","17","","",""
"5372","14","14","14","","",""
"5378","8","8","8","","",""
"5384","17","17","17","","",""
"5390","22","22","22","","",""
"5396","18","18","18","","",""
"5402","18","18","18","","",""
"5408","12","12","12","","",""
"5414","13","13","13","","",""
"5420","16","16","16","","",""
"5426","22","22","22","","",""
"5432","14","14","14","","",""
"5438","23","23","23","","",""
"5444","12","12","12","","",""
"5450","14","14","14","","",""
"5456","21","21","21","","",""
"5462","14","14","14","","",""
"5468","17","17","17","","",""
"5474","21","21","21","","",""
"5480","16","16","16","","",""
"5486","15","15","15","","",""
"5492","21","21","21","","",""
"5498","21","21","21","","",""
"5504","2","2","2","","",""
"5510","1","1","1","","",""
"5516","1","1","1","","",""
"5522","17","17","17","","",""
"5528","17","17","17","","",""
"5534","14","14","14","","",""
"5540","1","1","1","","",""
"5546","15","15","15","","",""
"5552","17","17","17","","",""
"5558","17","17","17","","",""
"5564","14","14","14","","",""
"5570","10","10","10","","",""
"5576","9","9","9","","",""
"5582","10","10","10","","",""
"5588","11","11","11","","",""
