"Step","POSITIONS_DQN_WIN - Episode Score","POSITIONS_DQN_WIN - Episode Score__MIN","POSITIONS_DQN_WIN - Episode Score__MAX","SURROUNDINGS_DQN_WIN - Episode Score","SURROUNDINGS_DQN_WIN - Episode Score__MIN","SURROUNDINGS_DQN_WIN - Episode Score__MAX"
"5594","17","17","17","","",""
"5600","6","6","6","","",""
"5606","3","3","3","","",""
"5612","21","21","21","","",""
"5618","12","12","12","","",""
"5624","3","3","3","","",""
"5630","18","18","18","","",""
"5636","16","16","16","","",""
"5642","11","11","11","","",""
"5648","20","20","20","","",""
"5654","7","7","7","","",""
"5660","14","14","14","","",""
"5666","17","17","17","","",""
"5672","15","15","15","","",""
"5678","10","10","10","","",""
"5684","10","10","10","","",""
"5690","17","17","17","","",""
"5696","12","12","12","","",""
"5702","15","15","15","","",""
"5708","11","11","11","","",""
"5714","14","14","14","","",""
"5720","1","1","1","","",""
"5726","17","17","17","","",""
"5732","15","15","15","","",""
"5738","18","18","18","","",""
"5744","17","17","17","","",""
"5750","16","16","16","","",""
"5756","10","10","10","","",""
"5762","17","17","17","","",""
"5768","17","17","17","","",""
"5774","12","12","12","","",""
"5780","14","14","14","","",""
"5786","13","13","13","","",""
"5792","18","18","18","","",""
"5798","1","1","1","","",""
"5804","17","17","17","","",""
"5810","10","10","10","","",""
"5816","8","8","8","","",""
"5822","14","14","14","","",""
"5828","11","11","11","","",""
"5834","19","19","19","","",""
"5840","18","18","18","","",""
"5846","11","11","11","","",""
"5852","18","18","18","","",""
"5858","17","17","17","","",""
"5864","17","17","17","","",""
"5870","16","16","16","","",""
"5876","15","15","15","","",""
"5882","18","18","18","","",""
"5888","14","14","14","","",""
"5894","3","3","3","","",""
"5900","16","16","16","","",""
"5906","11","11","11","","",""
"5912","18","18","18","","",""
"5918","15","15","15","","",""
"5924","14","14","14","","",""
"5930","15","15","15","","",""
"5936","19","19","19","","",""
"5942","19","19","19","","",""
"5948","21","21","21","","",""
"5954","17","17","17","","",""
"5960","18","18","18","","",""
"5966","15","15","15","","",""
"5972","14","14","14","","",""
"5978","13","13","13","","",""
"5984","17","17","17","","",""
"5990","10","10","10","","",""
"5996","15","15","15","","",""
"6002","17","17","17","","",""
"6008","14","14","14","","",""
"6014","17","17","17","","",""
"6020","17","17","17","","",""
"6026","19","19","19","","",""
"6032","22","22","22","","",""
"6038","13","13","13","","",""
"6044","14","14","14","","",""
"6050","18","18","18","","",""
"6056","18","18","18","","",""
"6062","16","16","16","","",""
"6068","16","16","16","","",""
"6074","19","19","19","","",""
"6080","18","18","18","","",""
"6086","2","2","2","","",""
"6092","1","1","1","","",""
"6098","17","17","17","","",""
"6104","19","19","19","","",""
"6110","20","20","20","","",""
"6116","17","17","17","","",""
"6122","17","17","17","","",""
"6128","10","10","10","","",""
"6134","17","17","17","","",""
"6140","19","19","19","","",""
"6146","17","17","17","","",""
"6152","16","16","16","","",""
"6158","14","14","14","","",""
"6164","14","14","14","","",""
"6170","14","14","14","","",""
"6176","16","16","16","","",""
"6182","15","15","15","","",""
"6188","18","18","18","","",""
"6194","20","20","20","","",""
"6200","19","19","19","","",""
"6206","11","11","11","","",""
"6212","13","13","13","","",""
"6218","16","16","16","","",""
"6224","16","16","16","","",""
"6230","6","6","6","","",""
"6236","11","11","11","","",""
"6242","13","13","13","","",""
"6248","18","18","18","","",""
"6254","14","14","14","","",""
"6260","16","16","16","","",""
"6266","13","13","13","","",""
"6272","13","13","13","","",""
"6278","18","18","18","","",""
"6284","14","14","14","","",""
"6290","16","16","16","","",""
"6296","16","16","16","","",""
"6302","10","10","10","","",""
"6308","16","16","16","","",""
"6314","1","1","1","","",""
"6320","16","16","16","","",""
"6326","7","7","7","","",""
"6332","7","7","7","","",""
"6338","16","16","16","","",""
"6344","15","15","15","","",""
"6350","18","18","18","","",""
"6356","15","15","15","","",""
"6362","13","13","13","","",""
"6368","10","10","10","","",""
"6374","16","16","16","","",""
"6380","19","19","19","","",""
"6386","22","22","22","","",""
"6392","18","18","18","","",""
"6398","21","21","21","","",""
"6404","19","19","19","","",""
"6410","18","18","18","","",""
"6416","17","17","17","","",""
"6422","24","24","24","","",""
"6428","16","16","16","","",""
"6434","20","20","20","","",""
"6440","8","8","8","","",""
"6446","10","10","10","","",""
"6452","15","15","15","","",""
"6458","17","17","17","","",""
"6464","20","20","20","","",""
"6470","16","16","16","","",""
"6476","14","14","14","","",""
"6482","14","14","14","","",""
"6488","13","13","13","","",""
"6494","15","15","15","","",""
"6500","17","17","17","","",""
"6506","11","11","11","","",""
"6512","25","25","25","","",""
